cik,companyName,stockSymbol,sector,industry,sic,sicCode
0001050915,"Quanta Services, Inc.",pwr,Construction,Construction Special Trade Contractors,ELECTRICAL WORK,1731
0001349436,"SANDRIDGE ENERGY, INC.",sd,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0000073124,NORTHERN TRUST CORPORATION,ntrs,"Finance, Insurance, And Real Estate",Depository Institutions,STATE COMMERCIAL BANKS,6022
0001385157,TE CONNECTIVITY LTD.,tel,Wholesale Trade,Wholesale Trade-durable Goods,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",5065
0000079879,"PPG INDUSTRIES, INC.",ppg,Manufacturing,Chemicals And Allied Products,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS",2851
0000109198,"The TJX Companies, Inc.",tjx,Retail Trade,Apparel And Accessory Stores,RETAIL-FAMILY CLOTHING STORES,5651
0001001838,Southern Copper Corp/,scco,Mining,"Metal, Mining",METAL MINING,1000
0001032033,Slm Corp,slm,"Finance, Insurance, And Real Estate",Non-depository Credit Institutions,PERSONAL CREDIT INSTITUTIONS,6141
0000097745,Thermo Fisher Scientific Inc.,tmo,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks","MEASURING & CONTROLLING DEVICES, NEC",3829
0000024545,Molson Coors Beverage Company,tap,Manufacturing,Food And Kindred Products,MALT BEVERAGES,2082
0000791519,Staples Inc,spls,Retail Trade,Miscellaneous Retail,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,5940
0001022671,"Steel Dynamics, Inc",stld,Manufacturing,Primary Metal Industries,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",3312
0000095521,Supervalu Inc,svu,Retail Trade,Food Stores,RETAIL-GROCERY STORES,5411
0001063761,"SIMON PROPERTY GROUP, INC.",spg,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0000100885,UNION PACIFIC CORPORATION,unp,"Transportation, Communications, Electric, Gas, And Sanitary Services",Railroad Transportation,"RAILROADS, LINE-HAUL OPERATING",4011
0000097476,TEXAS INSTRUMENTS INCORPORATED,txn,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",SEMICONDUCTORS & RELATED DEVICES,3674
0000092122,The Southern Company,so,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC SERVICES,4911
0000005513,Unum Group,unm,"Finance, Insurance, And Real Estate",Insurance Carriers,ACCIDENT & HEALTH INSURANCE,6321
0000812074,"O-I GLASS, INC.",oi,Manufacturing,"Stone, Clay, Glass, And Concrete Products",GLASS CONTAINERS,3221
0001090727,"United Parcel Service, Inc.",ups,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing,TRUCKING & COURIER SERVICES (NO AIR),4210
0000085408,ROWAN COMPANIES PLC,rdc,Mining,Oil And Gas Extraction,DRILLING OIL & GAS WELLS,1381
0000899689,Vornado Realty Trust,vno,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0000320335,GLOBE LIFE INC.,gl,"Finance, Insurance, And Real Estate",Insurance Carriers,LIFE INSURANCE,6311
0000097216,Terex Corporation,tex,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS",3537
0000090185,Sigma Aldrich Corp,sial,Wholesale Trade,Wholesale Trade-non-durable Goods,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,5160
0001396009,VULCAN MATERIALS COMPANY,vmc,Mining,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),1400
0001105705,Time Warner Inc.,twx,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,CABLE & OTHER PAY TELEVISION SERVICES,4841
0000101830,SPRINT CORPORATION,s,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813
0000837173,"Walter Energy, Inc.",wlt,Mining,Coal Mining,BITUMINOUS COAL & LIGNITE MINING,1220
0000086312,"Travelers Companies, Inc.",trv,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0000217346,Textron Inc,txt,Manufacturing,Transportation Equipment,AIRCRAFT & PARTS,3720
0000731766,UnitedHealth Group Incorporated,unh,"Finance, Insurance, And Real Estate",Insurance Carriers,HOSPITAL & MEDICAL SERVICE PLANS,6324
0000732717,AT&T INC.,t,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813
0000092380,SOUTHWEST AIRLINES CO.,luv,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation by Air,"AIR TRANSPORTATION, SCHEDULED",4512
0000036104,Us Bancorp \De\,usb,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0000104169,WALMART INC.,wmt,Retail Trade,General Merchandise Stores,RETAIL-VARIETY STORES,5331
0000833444,Johnson Controls International plc,jci,Services,Business Services,SERVICES-MISCELLANEOUS BUSINESS SERVICES,7380
0000764180,"ALTRIA GROUP, INC. ",mo,Manufacturing,Tobacco Products,CIGARETTES,2111
0000103379,V F CORP,vfc,Manufacturing,Apparel And Other Finished Products Made From Fabrics And Similar Materials,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",2320
0000849399,NortonLifeLock Inc.,nlok,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0000818479,DENTSPLY SIRONA Inc.,xray,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",DENTAL EQUIPMENT & SUPPLIES,3843
0000086144,Safeway Inc,swy,Retail Trade,Food Stores,RETAIL-GROCERY STORES,5411
0001136869,"ZIMMER BIOMET HOLDINGS, INC.",zbh,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks","ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",3842
0001035002,Valero Energy Corp/TX,vlo,Manufacturing,Petroleum Refining And Related Industries,PETROLEUM REFINING,2911
0000089800,THE SHERWIN-WILLIAMS COMPANY,shw,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers","RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",5200
0000894405,ARCBEST CORPORATION,arcb,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing,TRUCKING (NO LOCAL),4213
0000783325,"WEC ENERGY GROUP, INC.",wec,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC & OTHER SERVICES COMBINED,4931
0000882835,"ROPER TECHNOLOGIES, INC.",rop,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks","INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",3823
0000732712,Verizon Communications Inc.,vz,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813
0000868857,AECOM,acm,Services,"Engineering, Accounting, Research, Management, And Related Services",SERVICES-ENGINEERING SERVICES,8711
0000733269,"LiveRamp Holdings, Inc.",acxm,Services,Business Services,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374
0001365135,Western Union CO,wu,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0000935036,"ACI WORLDWIDE, INC.",aciw,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0001282266,"WINDSTREAM HOLDINGS, INC.",win,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813
0000059558,LINCOLN NATIONAL CORPORATION,lnc,"Finance, Insurance, And Real Estate",Insurance Carriers,LIFE INSURANCE,6311
0000087347,SCHLUMBERGER LIMITED/NV,slb,Mining,Oil And Gas Extraction,"OIL & GAS FIELD SERVICES, NEC",1389
0000072903,Xcel Energy Inc,xel,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC & OTHER SERVICES COMBINED,4931
0000947484,Arch Capital Group Ltd.,acgl,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0001156039,"Anthem, Inc.",antm,"Finance, Insurance, And Real Estate",Insurance Carriers,HOSPITAL & MEDICAL SERVICE PLANS,6324
0001163302,United States Steel Corporation,x,Manufacturing,Primary Metal Industries,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",3312
0001267395,Aspen Insurance Holdings Ltd,ahl,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0000001750,AAR CORP.,air,Manufacturing,Transportation Equipment,AIRCRAFT & PARTS,3720
0001091748,"Argo Group International Holdings, Ltd.",agii,"Finance, Insurance, And Real Estate",Insurance Carriers,TITLE INSURANCE,6361
0001101215,Alliance Data Systems Corp,ads,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0001014473,Verisign Inc/CA,vrsn,Services,Business Services,SERVICES-COMPUTER PROGRAMMING SERVICES,7371
0000823768,"Waste Management, Inc",wm,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",REFUSE SYSTEMS,4953
0001283630,"AMERICAN CAMPUS COMMUNITIES, INC.",acc,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001011006,Yahoo Inc,yhoo,Services,Business Services,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373
0001041061,"YUM! BRANDS, INC.",yum,Retail Trade,Eating And Drinking Places,RETAIL-EATING PLACES,5812
0001403161,Visa Inc.,v,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0001097149,"ALIGN TECHNOLOGY, INC.",algn,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks","ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",3842
0000915913,ALBEMARLE CORPORATION,alb,Manufacturing,Chemicals And Allied Products,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",2821
0000766421,"ALASKA AIR GROUP, INC.",alk,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation by Air,"AIR TRANSPORTATION, SCHEDULED",4512
0000706688,"AARON’S, INC.",aan,Services,Business Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",7359
0001113169,Price T Rowe Group Inc,trow,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services","SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",6200
0000029669,RR Donnelley & Sons Co,rrd,Manufacturing,"Printing, Publishing, And Allied Industries",COMMERCIAL PRINTING,2750
0001008848,ACORDA THERAPEUTICS INC,acor,Manufacturing,Chemicals And Allied Products,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836
0001004434,"AFFILIATED MANAGERS GROUP, INC.",amg,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services",INVESTMENT ADVICE,6282
0000792977,"AMAG PHARMACEUTICALS, INC.",amag,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0000106535,WEYERHAEUSER COMPANY,wy,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001042046,"AMERICAN FINANCIAL GROUP, INC.",afg,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0000874214,ANN INC.,ann,Retail Trade,Apparel And Accessory Stores,RETAIL-WOMEN'S CLOTHING STORES,5621
0001173431,TD Ameritrade Holding Corporation,amtd,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services","SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211
0000771497,ABM INDUSTRIES INC,abm,Services,Business Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS,7340
0000926282,"ADTRAN, Inc.",adtn,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",TELEPHONE & TELEGRAPH APPARATUS,3661
0001000697,"WATERS CORP /DE/ ",wat,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",LABORATORY ANALYTICAL INSTRUMENTS,3826
0001013462,"ANSYS, Inc.",anss,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0000932628,Amerigas Partners Lp,apu,Retail Trade,Miscellaneous Retail,"RETAIL-RETAIL STORES, NEC",5990
0000804212,Airgas Inc,arg,Wholesale Trade,Wholesale Trade-durable Goods,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,5084
0000922864,Apartment Investment and Management Company,aiv,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001168213,Aeropostale Inc,aro,Retail Trade,Apparel And Accessory Stores,RETAIL-APPAREL & ACCESSORY STORES,5600
0001467373,Accenture plc,acn,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0000880266,Agco Corp /DE,agco,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,FARM MACHINERY & EQUIPMENT,3523
0001086600,Alliance Resource Partners Lp,arlp,Mining,Coal Mining,BITUMINOUS COAL & LIGNITE SURFACE MINING,1221
0000108772,Xerox Corporation,xrx,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0001305014,Ashland Inc.,ash,Wholesale Trade,Wholesale Trade-non-durable Goods,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,5160
0001131096,Athenahealth Inc,athn,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0001047884,Anworth Mortgage Asset Corp,anh,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001158449,"ADVANCE AUTO PARTS, INC.",aap,Retail Trade,Automotive Dealers And Gasoline Service Stations,RETAIL-AUTO & HOME SUPPLY STORES,5531
0000895930,Amsurg Corp,amsg,Services,Health Services,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,8011
0000003453,"Matson, Inc.",matx,"Transportation, Communications, Electric, Gas, And Sanitary Services",Water Transportation,WATER TRANSPORTATION,4400
0000919012,"American Eagle Outfitters, Inc.",aeo,Retail Trade,Apparel And Accessory Stores,RETAIL-FAMILY CLOTHING STORES,5651
0000002488,"ADVANCED MICRO DEVICES, INC",amd,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",SEMICONDUCTORS & RELATED DEVICES,3674
0000203077,St Jude Medical Inc,stj,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,3845
0000350698,"Autonation, Inc.",an,Retail Trade,Automotive Dealers And Gasoline Service Stations,RETAIL-AUTO DEALERS & GASOLINE STATIONS,5500
0000910322,Astoria Financial Corp,af,"Finance, Insurance, And Real Estate",Depository Institutions,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035
0000008670,"AUTOMATIC DATA PROCESSING, INC.",adp,Services,Business Services,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374
0000825313,Alliancebernstein Holding L.P.,ab,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services",INVESTMENT ADVICE,6282
0000066756,"ALLETE, Inc.",ale,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC & OTHER SERVICES COMBINED,4931
0001047127,"AMKOR TECHNOLOGY, INC.",amkr,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",SEMICONDUCTORS & RELATED DEVICES,3674
0000880807,American Superconductor Corp /DE/,amsc,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",MOTORS & GENERATORS,3621
0000750556,"SunTrust Banks, Inc.",sti,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0000866787,AUTOZONE INC,azo,Retail Trade,Automotive Dealers And Gasoline Service Stations,RETAIL-AUTO & HOME SUPPLY STORES,5531
0000821026,"THE ANDERSONS, INC.",ande,Wholesale Trade,Wholesale Trade-non-durable Goods,WHOLESALE-FARM PRODUCT RAW MATERIALS,5150
0000354190,ARTHUR J. GALLAGHER & CO.,ajg,"Finance, Insurance, And Real Estate","Insurance Agents, Brokers, And Service","INSURANCE AGENTS, BROKERS & SERVICE",6411
0000007536,Arrow Electronics Inc,arw,Wholesale Trade,Wholesale Trade-durable Goods,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",5065
0001034670,AUTOLIV INC,alv,Manufacturing,Transportation Equipment,MOTOR VEHICLE PARTS & ACCESSORIES,3714
0001178670,"Alnylam Pharmaceuticals, Inc.",alny,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0000072971,WELLS FARGO & COMPANY/MN,wfc,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0001214816,AXIS CAPITAL HOLDINGS LIMITED,axs,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0001018840,Abercrombie & Fitch Co.,anf,Retail Trade,Apparel And Accessory Stores,RETAIL-FAMILY CLOTHING STORES,5651
0000078890,BRINK’S CO,bco,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation Services,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,4731
0000007789,Associated Banc-Corp,asb,"Finance, Insurance, And Real Estate",Depository Institutions,STATE COMMERCIAL BANKS,6022
0000899866,"ALEXION PHARMACEUTICALS, INC.",alxn,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0001130464,Black Hills Corporation,bkh,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC SERVICES,4911
0000866121,"ORBITAL ATK, INC.",oa,Manufacturing,Transportation Equipment,GUIDED MISSILES & SPACE VEHICLES & PARTS,3760
0000008818,AVERY DENNISON CORPORATION,avy,Manufacturing,Paper And Allied Products,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),2670
0001163348,"Allied World Assurance Co Holdings, AG",awh,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0000009389,Ball Corp,bll,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment",METAL CANS,3411
0000033769,BOB EVANS FARMS INC,bobe,Retail Trade,Eating And Drinking Places,RETAIL-EATING PLACES,5812
0001410636,"American Water Works Company, Inc.",awk,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",WATER SUPPLY,4941
0001172139,BILL BARRETT CORPORATION,bbg,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0000008411,Atwood Oceanics Inc,atw,Mining,Oil And Gas Extraction,DRILLING OIL & GAS WELLS,1381
0001009626,Brocade Communications Systems Inc,brcd,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,COMPUTER COMMUNICATIONS EQUIPMENT,3576
0000731802,Atmos Energy Corp,ato,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",NATURAL GAS DISTRIBUTION,4924
0000896622,"AptarGroup, Inc",atr,Manufacturing,Rubber And Miscellaneous Plastics Products,"PLASTICS PRODUCTS, NEC",3089
0000790816,Brandywine Realty Trust,bdn,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0000863436,"BENCHMARK ELECTRONICS, INC.",bhe,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",PRINTED CIRCUIT BOARDS,3672
0000012208,"BIO-RAD LABORATORIES, INC.",bio,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",LABORATORY ANALYTICAL INSTRUMENTS,3826
0000861361,B/E AEROSPACE INC,beav,Manufacturing,Furniture And Fixtures,PUBLIC BLDG & RELATED FURNITURE,2531
0000872448,Atmel Corp,atml,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",SEMICONDUCTORS & RELATED DEVICES,3674
0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",are,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0000104918,AVISTA CORPORATION,ava,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC & OTHER SERVICES COMBINED,4931
0001332349,Brookdale Senior Living Inc.,bkd,Services,Health Services,SERVICES-NURSING & PERSONAL CARE FACILITIES,8050
0000011199,Bemis Co Inc,bms,Manufacturing,Paper And Allied Products,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),2670
0001027884,Chicago Bridge & Iron Co N V,cbi,Construction,Construction Special Trade Contractors,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,1700
0001289236,BioMed Realty Trust Inc,bmr,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001048477,Biomarin Pharmaceutical Inc,bmrn,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0000823094,Sothebys,bid,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0000812701,CALGON CARBON Corp,ccc,Manufacturing,Chemicals And Allied Products,INDUSTRIAL INORGANIC CHEMICALS,2810
0000885245,BUCKLE INC,bke,Retail Trade,Apparel And Accessory Stores,RETAIL-FAMILY CLOTHING STORES,5651
0000073887,Bristow Group Inc.,brs,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation by Air,"AIR TRANSPORTATION, NONSCHEDULED",4522
0000022356,"COMMERCE BANCSHARES, INC.",cbsh,"Finance, Insurance, And Real Estate",Depository Institutions,STATE COMMERCIAL BANKS,6022
0000792987,"ASTEC INDUSTRIES, INC.",aste,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,CONSTRUCTION MACHINERY & EQUIP,3531
0001046568,CAREER EDUCATION CORP,ceco,Services,Educational Services,SERVICES-EDUCATIONAL SERVICES,8200
0000805022,"Buckeye Partners, L.P.",bpl,"Transportation, Communications, Electric, Gas, And Sanitary Services","Pipelines, Except Natural Gas",PIPE LINES (NO NATURAL GAS),4610
0000046195,Bank Of Hawaii Corp,boh,"Finance, Insurance, And Real Estate",Depository Institutions,STATE COMMERCIAL BANKS,6022
0000813672,"CADENCE DESIGN SYSTEMS, INC.",cdns,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0001141107,Arris Group Inc,arrs,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663
0000723612,"Avis Budget Group, Inc.",car,Services,"Automotive Repair, Services, And Parking",SERVICES-AUTO RENTAL & LEASING (NO DRIVERS),7510
0000079282,"BROWN & BROWN, INC.",bro,"Finance, Insurance, And Real Estate","Insurance Agents, Brokers, And Service","INSURANCE AGENTS, BROKERS & SERVICE",6411
0000887596,THE CHEESECAKE FACTORY INCORPORATED,cake,Retail Trade,Eating And Drinking Places,RETAIL-EATING PLACES,5812
0000804753,CERNER CORPORATION,cern,Services,Business Services,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373
0000009984,BARNES GROUP INC.,b,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment",MISCELLANEOUS FABRICATED METAL PRODUCTS,3490
0000726958,"CASEY’S GENERAL STORES, INC.",casy,Retail Trade,Automotive Dealers And Gasoline Service Stations,RETAIL-AUTO DEALERS & GASOLINE STATIONS,5500
0000091142,SMITH A O CORP,aos,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",HOUSEHOLD APPLIANCES,3630
0000897429,"Chico's FAS, Inc.",chs,Retail Trade,Apparel And Accessory Stores,RETAIL-WOMEN'S CLOTHING STORES,5621
0000313927,"CHURCH & DWIGHT CO., INC.",chd,Manufacturing,Chemicals And Allied Products,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",2840
0000716133,CINCINNATI BELL INC.,cbb,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813
0001171825,CIT GROUP INC.,cit,"Finance, Insurance, And Real Estate",Non-depository Credit Institutions,FINANCE LESSORS,6172
0000768835,Big Lots Inc,big,Retail Trade,General Merchandise Stores,RETAIL-VARIETY STORES,5331
0001409493,Chimera Investment Corp,cim,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0000890491,Barnes & Noble Inc,bks,Retail Trade,Miscellaneous Retail,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,5940
0000020740,CLARCOR INC.,clc,Manufacturing,Transportation Equipment,MOTOR VEHICLE PARTS & ACCESSORIES,3714
0000851205,Cognex Corp,cgnx,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks","INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",3823
0001219601,"CROWN HOLDINGS, INC.",cck,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment",METAL CANS,3411
0000701853,Bancorpsouth Inc,bxs,"Finance, Insurance, And Real Estate",Depository Institutions,STATE COMMERCIAL BANKS,6022
0001049782,BROOKLINE BANCORP INC,brkl,"Finance, Insurance, And Real Estate",Depository Institutions,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035
0000763901,"POPULAR, INC.",bpop,"Finance, Insurance, And Real Estate",Depository Institutions,STATE COMMERCIAL BANKS,6022
0001393818,Blackstone Group Inc,bx,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services",INVESTMENT ADVICE,6282
0000039263,"CULLEN/FROST BANKERS, INC.",cfr,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0000925645,CENTRAL EUROPEAN MEDIA ENTERPRISES LTD.,cetv,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,TELEVISION BROADCASTING STATIONS,4833
0001046311,Choice Hotels International Inc /DE,chh,Services,"Hotels, Rooming Houses, Camps, And Other Lodging Places",HOTELS & MOTELS,7011
0000813920,Cec Entertainment Inc,cec_priv,Retail Trade,Eating And Drinking Places,RETAIL-EATING PLACES,5812
0000016040,Cabot Corporation,cbt,Manufacturing,Chemicals And Allied Products,MISCELLANEOUS CHEMICAL PRODUCTS,2890
0000936395,Ciena Corp,cien,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",TELEPHONE & TELEGRAPH APPARATUS,3661
0000016732,CAMPBELL SOUP COMPANY,cpb,Manufacturing,Food And Kindred Products,FOOD AND KINDRED PRODUCTS,2000
